Investor name,Investor type,Countries of investment,Global HQ,Technology focus,First Cheque,Stages of investment,Investment thesis,LinkedIn,Website,linkedin-private-codex
Anthill Ventures,VC,"India,Singapore","18 Cross Street #02-101 Office S2077, Singapore 048423","📱 Consumer hardware,🌡 Medical hardware,💊 Therapeutics,💻 Software",$500k to $10M,"3. Early Revenue,4. Scaling,5. Growth","We invest in companies that are at an early stage and we help in scaling start-ups using the unique network of channel partners we have. We invest in companies in the Health, Urban Consumer and Urban Tech start-up who have a pre revenue stage.",https://www.linkedin.com/company/anthill-ventures/,https://anthillventures.com/,
XFactor Ventures,VC,"USA,UK,Canada,Mexico,Colombia","16 W 23rd St floor 5, New York, NY 10010","💻 Software,📱 Consumer hardware,🔬 Deep Tech",$150k to $150k,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in companies with female founders pursuing billion-dollar opportunities,https://www.linkedin.com/company/xfactor-ventures,https://www.xfactor.ventures/,
Earlybird Ventures - Digital East Fund,VC,"Turkey,Romania,Bulgaria,Slovakia,Estonia,Poland,Greece,Serbia,Ukraine,Hungary,Lithuania,Latvia,Slovenia,Croatia,Belarus,Moldova,Montenegro,Albania,Jordan,Bosnia and Herzegovina","Kucuk Bebek Caddesi, No:1 D:1, Istanbul, Bebek 34341, TR","💻 Software,🔬 Deep Tech,⚙️ Enterprise hardware",$500k to $10M,"4. Scaling,3. Early Revenue,2. Prototype,5. Growth","Earlybird Digital East Fund is focused on early stage ICT investment opportunities in Eastern Europe and Turkey, being the leading tech VC in this region.",https://www.linkedin.com/company/earlybird-venture-capital/,https://earlybird.com/,
Orange Digital Ventures,Corporate VC,"Belgium,Bulgaria,Cameroon,Central African Republic,Côte d'Ivoire,Estonia,Ethiopia,Finland,France,Germany,Greece,Ireland,Israel,Italy,Lithuania,Luxembourg,Madagascar,Mali,Montenegro,Morocco,Niger,Nigeria,Norway,Qatar,Rwanda,Saudi Arabia,Senegal,Slovakia,Slovenia,Somalia,South Africa,Spain,Sweden,Switzerland,Togo,Tonga,Tunisia,Turkey,UK,USA,Yemen,Zambia,Zimbabwe,Czech Republic","Paris, Ile-de-France, France","💻 Software,🔬 Deep Tech",$5M to $15M,"4. Scaling,5. Growth",Investing in European & North American series B/C startups.,N/A,https://digitalventures.orange.com/,
Vitruvian Partners,VC,"Canada,Israel,UK,USA",UK,"💻 Software,🔬 Deep Tech",$25M to $250M,4. Scaling,"We invest in primary and/or secondary capital in rapidly growing companies to support and accelerate growth. We target growth capital and management buyout deals, investing between €25m-€250m in companies typically valued between €75m-€1bn+.",N/A,http://www.vitruvianpartners.com,
Factor[e] Ventures,VC,"Kenya,India","430 N. College Ave, Fort Collins, Colorado 80524, US",💻 Software,$250k to $750k,3. Early Revenue,"We invest in early-stage technology companies creating impact in emerging markets. We focus on 4 verticals: energy, mobility, waste, agriculture.",https://www.linkedin.com/company/factor-e-ventures/,https://www.factore.com/,
FJ Labs,VC,"USA,UK,France,Spain,Brazil,Colombia,Argentina,Mexico,Canada,Chile,Germany,Netherlands,Sweden","New York, New York, United States",💻 Software,$250k to $2M,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",https://fabricegrinda.com/fj-labs-investment-strategy/,https://www.linkedin.com/company/fj-labs/,https://fjlabs.com/,
Golden Ventures,VC,"USA,Canada","20 Maud Street, Suite 306, Toronto, Ontario M5V 2M5, CA","🔬 Deep Tech,💻 Software",$400k to $2M,"2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in North America at Seed stage across all sectors.,https://ca.linkedin.com/company/goldenventures,https://golden.ventures,
Eutopia,VC,"France,USA,UK,Germany,Belgium,Spain,Italy,Ireland,Luxembourg,Netherlands,Switzerland,Denmark,Norway,Sweden,Portugal,Finland","5 rue saint Joseph, 75002 Paris",💻 Software,$2M to $5M,"3. Early Revenue,4. Scaling","We invest in consumer startups that are good for me, good for the planet and good for society, with €1M-10M annual revenues;",https://www.linkedin.com/company/11834914,http://eutopia.vc/,
Swisscom Ventures,Corporate VC,"Switzerland,USA,Germany,Portugal","Zürich, Zurich, Switzerland","🔬 Deep Tech,💻 Software",$1M to $10M,"4. Scaling,5. Growth,3. Early Revenue,6. Pre-IPO","Swisscom Ventures is the venture capital arm of Swisscom AG, the leading telecom and ICT provider in Switzerland. Since 2007, we have invested in over 50 technology companies from our offices in Switzerland (Zurich and Bern) and the USA (Silicon Valley). As a strategic investor, we offer entrepreneurs access to our technical infrastructure and market channels in addition to financial support.",https://www.linkedin.com/company/swisscom-ventures/,https://ventures.swisscom.com/,
Silver Lake Partners,PE fund,USA,"2775 Sand Hill Road, Suite 100, Menlo Park, CA 94025, US","💻 Software,⚙️ Enterprise hardware,📱 Consumer hardware",$100M to $2.5B,5. Growth,"We invest in scaled technology and tech-enabled businesses. We are a growth-oriented, value-add investor.",https://www.linkedin.com/company/silver-lake-partners/,https://www.silverlake.com,
Rhodium,Family office,"Israel,USA,UK,Andorra","91 Medinat Hyehudim, Hertzelia Pituach","💻 Software,🔬 Deep Tech,📱 Consumer hardware,⚙️ Enterprise hardware",$50k to $1M,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in Internet & Impact, globally",https://www.linkedin.com/company/rhodium,https://www.rhodium.co.il/,
Keensight Capital,PE fund,"Belgium,Finland,Denmark,France,Germany,Italy,Spain,Netherlands,Portugal,Sweden,Switzerland,UK","64 rue de Lisbonne, Paris, France","💻 Software,🔬 Deep Tech,💊 Therapeutics",$10M to $200M,"5. Growth,6. Pre-IPO","We invest in profitable companies with high growth potential and revenues in the range of €10 million to €300 million.   Keensight Capital, one of the leading European Growth Buyout firms, is committed to supporting entrepreneurs as they implement their growth strategies. For 20 years, Keensight Capital’s team of seasoned professionals has leveraged their knowledge of investment and growth industries to invest for the long term.  Drawing on its expertise in the Technology and Healthcare sectors, Keensight identifies the best investment opportunities in Europe and works closely with management teams to develop and achieve their strategic vision.",https://www.linkedin.com/company/keensight-capital,https://www.keensightcapital.com/,
Seventure - Life Sciences,VC,"France,Germany,USA,Canada,Belgium,Japan,Israel,Netherlands,UK","5-7 rue de Monttessuy, Paris, 75007, FR","💻 Software,🔬 Deep Tech,💊 Therapeutics,🌡 Medical hardware",$1M to $10M,"3. Early Revenue,4. Scaling,2. Prototype","We invest in the following sectors :  - Microbiome* applications in all fields (human, animal, plant…) - Connected-health, digital-health, digital-food / nutrition - Foodtech and innovations in the food sector including enabling and manufacturing technologies - Medtech and diagnostics - Biotech and pharmaceuticals - Industrial biotech - Agtech  We support the development of companies in various stages of development – from seed ventures to late-stage companies.  We currently invest €1-10 million per financing round, and up to €20 million in several rounds.  Seventure Life sciences team is based in Paris, London, Bales, Geneva, and Munich, and invests in Europe, North America, and Asia.",https://www.linkedin.com/company/seventure-partners/,http://www.seventure.fr/en/,
Side Capital,VC,France,"40, rue du Colisée 75008 Paris",💻 Software,$350k to $700k,3. Early Revenue,We invest in software and digital products.   We like to be an only investor in seed rounds from 300k EUR to 600k EUR,https://www.linkedin.com/company/side-capital/,http://www.side-capital.com/,
Volpe Ventures,VC,"UK,USA,Spain,Italy,France,Chile,Colombia,Peru,Argentina,Portugal","London, GB","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware",$10k to $100k,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in underrepresented founders and founding teams building companies with passion,https://www.linkedin.com/company/volpe-ventures,http://www.volpeventures.com,
CapAgro,VC,"France,Belgium,USA,Austria,Canada,Germany,UK,Switzerland,Spain,Sweden,Portugal,Luxembourg,Italy,Israel,Ireland,Greece,Czech Republic,Croatia",France,"🔬 Deep Tech,💻 Software",$1M to $10M,"3. Early Revenue,4. Scaling",First European Independent Venture Capital fund dedicated to AgTech and FoodTech,https://www.linkedin.com/company/capagro/?originalSubdomain=fr,https://www.capagro.fr/,
TechAviv Founder Partners,VC,"USA,Israel,UK","121 Menachem Begin Rd., Tel Aviv, IL","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🌡 Medical hardware,🔬 Deep Tech,💊 Therapeutics",$500k to $3M,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in the world’s best Israeli founders.,https://www.linkedin.com/company/techaviv-founder-partners,https://www.founderpartners.vc,
Axilor Ventures,VC,India,"No. 739, 15th Cross, 6th Phase JP Nagar, Sarakki, Bangalore, Karnataka 560078, India","💻 Software,🔬 Deep Tech",$200k to $500k,"2. Prototype,3. Early Revenue","We invest in early-stage startups in India. We focus on Enterprise and Consumer software, Deep tech, Fintech and Healthtech",https://www.linkedin.com/company/axilor-ventures/,http://axilor.com/,
Samyakth Capital,VC,India,"1106, Marathon Icon, Lower Parel West, Mumbai, Maharashtra - 400013, India","💻 Software,🔬 Deep Tech",$25k to $200k,"3. Early Revenue,2. Prototype",We invest in all areas (Sector agnostic),https://www.linkedin.com/company/samyakth-capital/?originalSubdomain=in,http://samyakthcapital.com/,
Shamrock Capital,VC,USA,"1100 Glendon Ave #1600, Los Angeles, CA 90024",💻 Software,$15M to $100M,5. Growth,"Shamrock is flexible in the structuring of investments. Given our focus on growing businesses that are often at an inflection point in their lifecycle, we look to provide an investment structure that best allows the portfolio company to achieve its potential. We are comfortable as both majority and minority investors. Regardless of the type of investment, Shamrock’s role as a value-added, active partner remains consistent.  Growth Equity: Companies seeking expansion capital. Buyouts & Recapitalizations: Providing shareholders liquidity. Investment Criteria Shamrock looks to invest in companies with strong management teams and attractive business models that are poised for growth. We typically look to generate returns over a three to seven year time horizon. In general, Shamrock’s investment criteria can be summarized as follows:  Industry Focus: Media, Entertainment and Communications Investment Size: $15 million to $100 million of equity Investment Type: Lead investor in a controlling or minority position, including Growth Equity, Buyouts and Recapitalizations. Investment Qualities:  Competitive differentiation  Market leadership  Strong growth prospects  Operating leverage  Management and ownership alignment",N/A,https://shamrockcap.com/,
Alsace Business Angels,Angel network,France,"9 Boulevard Gonthier d'Andernach, Illkirch-Graffenstaden, Alsace / Bas-Rhin 67400, FR","💊 Therapeutics,💻 Software,📱 Consumer hardware,🌡 Medical hardware,⚙️ Enterprise hardware,🔬 Deep Tech",$60k to $200k,"2. Prototype,3. Early Revenue,4. Scaling",We invest in Alsace based startups,https://www.linkedin.com/company/alsace-business-angels/,http://www.alsacebusinessangels.com/,
UTEC - The University of Tokyo Edge Capital,VC,"Japan,India,Singapore,USA,UK","The University of Tokyo, Japan",🔬 Deep Tech,$1M to $4M,"2. Prototype,3. Early Revenue,4. Scaling,1. Idea or Patent","UTEC - The University of Tokyo Edge Capital Partners, is a Japan-based seed/early stage deep-tech venture capital firm associated with academic institutes such as The University of Tokyo. UTEC has over $500M Assets Under Management, and has invested in 100+ companies in Japan, USA, Singapore, India and Europe with a track record of 13 IPOs and12 successful M&A (as of Mar 2021). UTEC predominantly invests in three deep-tech sectors: a) Healthcare & Life Sciences, b) IT/AI, and c) Physical Sciences & Engineering.",https://www.linkedin.com/company/utec/,https://www.ut-ec.co.jp/english/,
